onset	duration	begsample	endsample	offset	type
7.665	0.105	1534	1554	0	stimulation
8.045	0.105	1610	1630	0	stimulation
8.425	0.105	1686	1706	0	stimulation
8.805	0.105	1762	1782	0	stimulation
27.595	0.105	5520	5540	0	stimulation
31.5	0.105	6301	6321	0	stimulation
31.88	0.105	6377	6397	0	stimulation
32.26	0.105	6453	6473	0	stimulation
32.64	0.105	6529	6549	0	stimulation
61.83	0.105	12367	12387	0	stimulation
62.21	0.105	12443	12463	0	stimulation
62.59	0.105	12519	12539	0	stimulation
62.97	0.105	12595	12615	0	stimulation
90.88	0.105	18177	18197	0	stimulation
91.26	0.105	18253	18273	0	stimulation
91.64	0.105	18329	18349	0	stimulation
92.02	0.105	18405	18425	0	stimulation
