onset	duration	begsample	endsample	offset	type
59.985	0.105	11998	12018	0	stimulation
60.635	0.105	12128	12148	0	stimulation
61.285	0.105	12258	12278	0	stimulation
61.935	0.105	12388	12408	0	stimulation
63.55	0.105	12711	12731	0	stimulation
64.2	0.105	12841	12861	0	stimulation
64.85	0.105	12971	12991	0	stimulation
65.4999	0.105	13100.98	13120.98	0	stimulation
66.15	0.105	13231	13251	0	stimulation
85.045	0.105	17010	17030	0	stimulation
85.695	0.105	17140	17160	0	stimulation
86.345	0.105	17270	17290	0	stimulation
