onset	duration	begsample	endsample	offset	type
6.065	0.105	1214	1234	0	stimulation
7.07	0.105	1415	1435	0	stimulation
7.76	0.105	1553	1573	0	stimulation
8.76	0.105	1753	1773	0	stimulation
9.455	0.105	1892	1912	0	stimulation
32.86	0.105	6573	6593	0	stimulation
33.865	0.105	6774	6794	0	stimulation
34.87	0.105	6975	6995	0	stimulation
35.56	0.105	7113	7133	0	stimulation
36.565	0.105	7314	7334	0	stimulation
58.695	0.105	11740	11760	0	stimulation
59.7	0.105	11941	11961	0	stimulation
60.39	0.105	12079	12099	0	stimulation
61.39	0.105	12279	12299	0	stimulation
62.085	0.105	12418	12438	0	stimulation
79.73	0.105	15947	15967	0	stimulation
80.735	0.105	16148	16168	0	stimulation
81.425	0.105	16286	16306	0	stimulation
82.425	0.105	16486	16506	0	stimulation
83.12	0.105	16625	16645	0	stimulation
