onset	duration	begsample	endsample	offset	type
59.985	0.105	11998	12018	0	stimulation
60.635	0.105	12128	12148	0	stimulation
61.285	0.105	12258	12278	0	stimulation
61.935	0.105	12388	12408	0	stimulation
62.585	0.105	12518	12538	0	stimulation
63.235	0.105	12648	12668	0	stimulation
64.21	0.105	12843	12863	0	stimulation
64.8599	0.105	12972.98	12992.98	0	stimulation
65.51	0.105	13103	13123	0	stimulation
66.16	0.105	13233	13253	0	stimulation
67.13	0.105	13427	13447	0	stimulation
67.78	0.105	13557	13577	0	stimulation
