onset	duration	begsample	endsample	offset	type
29.185	0.105	5838	5858	0	stimulation
29.835	0.105	5968	5988	0	stimulation
30.485	0.105	6098	6118	0	stimulation
31.135	0.105	6228	6248	0	stimulation
31.785	0.105	6358	6378	0	stimulation
61.56	0.105	12313	12333	0	stimulation
62.21	0.105	12443	12463	0	stimulation
62.86	0.105	12573	12593	0	stimulation
77.91	0.105	15583	15603	0	stimulation
78.56	0.105	15713	15733	0	stimulation
78.9	0.105	15781	15801	0	stimulation
79.54	0.105	15909	15929	0	stimulation
79.885	0.105	15978	15998	0	stimulation
80.52	0.105	16105	16125	0	stimulation
