onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
31.04	0.105	6209	6229	0	stimulation
32.095	0.105	6420	6440	0	stimulation
33.15	0.105	6631	6651	0	stimulation
41.89	0.105	8379	8399	0	stimulation
42.945	0.105	8590	8610	0	stimulation
44	0.105	8801	8821	0	stimulation
45.055	0.105	9012	9032	0	stimulation
45.52	0.105	9105	9125	0	stimulation
58.69	0.105	11739	11759	0	stimulation
59.745	0.105	11950	11970	0	stimulation
60.8	0.105	12161	12181	0	stimulation
61.855	0.105	12372	12392	0	stimulation
62.91	0.105	12583	12603	0	stimulation
