onset	duration	begsample	endsample	offset	type
9.25	0.105	1851	1871	0	stimulation
10.22	0.105	2045	2065	0	stimulation
11.19	0.105	2239	2259	0	stimulation
12.16	0.105	2433	2453	0	stimulation
13.775	0.105	2756	2776	0	stimulation
14.745	0.105	2950	2970	0	stimulation
15.715	0.105	3144	3164	0	stimulation
36.54	0.105	7309	7329	0	stimulation
37.51	0.105	7503	7523	0	stimulation
38.48	0.105	7697	7717	0	stimulation
63.135	0.105	12628	12648	0	stimulation
64.105	0.105	12822	12842	0	stimulation
66.995	0.105	13400	13420	0	stimulation
67.965	0.105	13594	13614	0	stimulation
