onset	duration	begsample	endsample	offset	type
8.095	0.105	1620	1640	0	stimulation
8.475	0.105	1696	1716	0	stimulation
8.855	0.105	1772	1792	0	stimulation
9.235	0.105	1848	1868	0	stimulation
18.585	0.105	3718	3738	0	stimulation
18.965	0.105	3794	3814	0	stimulation
19.345	0.105	3870	3890	0	stimulation
19.725	0.105	3946	3966	0	stimulation
28.435	0.105	5688	5708	0	stimulation
28.815	0.105	5764	5784	0	stimulation
29.195	0.105	5840	5860	0	stimulation
29.575	0.105	5916	5936	0	stimulation
62.445	0.105	12490	12510	0	stimulation
62.825	0.105	12566	12586	0	stimulation
63.205	0.105	12642	12662	0	stimulation
63.585	0.105	12718	12738	0	stimulation
72.775	0.105	14556	14576	0	stimulation
