onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.68	0.105	6337	6357	0	stimulation
32.68	0.105	6537	6557	0	stimulation
33.375	0.105	6676	6696	0	stimulation
54.86	0.105	10973	10993	0	stimulation
55.865	0.105	11174	11194	0	stimulation
56.555	0.105	11312	11332	0	stimulation
57.555	0.105	11512	11532	0	stimulation
58.25	0.105	11651	11671	0	stimulation
75.895	0.105	15180	15200	0	stimulation
76.9	0.105	15381	15401	0	stimulation
77.905	0.105	15582	15602	0	stimulation
78.91	0.105	15783	15803	0	stimulation
79.61	0.105	15923	15943	0	stimulation
