onset	duration	begsample	endsample	offset	type
27.82	0.105	5565	5585	0	stimulation
29.435	0.105	5888	5908	0	stimulation
30.405	0.105	6082	6102	0	stimulation
30.74	0.105	6149	6169	0	stimulation
31.705	0.105	6342	6362	0	stimulation
37.8	0.105	7561	7581	0	stimulation
38.77	0.105	7755	7775	0	stimulation
39.74	0.105	7949	7969	0	stimulation
40.71	0.105	8143	8163	0	stimulation
62.165	0.105	12434	12454	0	stimulation
63.135	0.105	12628	12648	0	stimulation
67.31	0.105	13463	13483	0	stimulation
68.28	0.105	13657	13677	0	stimulation
69.25	0.105	13851	13871	0	stimulation
70.22	0.105	14045	14065	0	stimulation
