onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.68	0.105	6337	6357	0	stimulation
32.68	0.105	6537	6557	0	stimulation
33.375	0.105	6676	6696	0	stimulation
55.18	0.105	11037	11057	0	stimulation
56.185	0.105	11238	11258	0	stimulation
57.19	0.105	11439	11459	0	stimulation
58.195	0.105	11640	11660	0	stimulation
63.365	0.105	12674	12694	0	stimulation
64.37	0.105	12875	12895	0	stimulation
65.3749	0.105	13075.98	13095.98	0	stimulation
66.38	0.105	13277	13297	0	stimulation
67.385	0.105	13478	13498	0	stimulation
