onset	duration	begsample	endsample	offset	type
0.945	0.105	190	210	0	stimulation
1.95	0.105	391	411	0	stimulation
2.955	0.105	592	612	0	stimulation
3.96	0.105	793	813	0	stimulation
4.66	0.105	933	953	0	stimulation
32.86	0.105	6573	6593	0	stimulation
34.185	0.105	6838	6858	0	stimulation
35.19	0.105	7039	7059	0	stimulation
35.88	0.105	7177	7197	0	stimulation
36.885	0.105	7378	7398	0	stimulation
43.33	0.105	8667	8687	0	stimulation
44.335	0.105	8868	8888	0	stimulation
45.34	0.105	9069	9089	0	stimulation
46.345	0.105	9270	9290	0	stimulation
47.37	0.105	9475	9495	0	stimulation
63.085	0.105	12618	12638	0	stimulation
64.09	0.105	12819	12839	0	stimulation
65.0949	0.105	13019.98	13039.98	0	stimulation
