onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.715	0.105	6344	6364	0	stimulation
32.68	0.105	6537	6557	0	stimulation
33.41	0.105	6683	6703	0	stimulation
54.54	0.105	10909	10929	0	stimulation
55.545	0.105	11110	11130	0	stimulation
56.235	0.105	11248	11268	0	stimulation
57.235	0.105	11448	11468	0	stimulation
57.93	0.105	11587	11607	0	stimulation
72.695	0.105	14540	14560	0	stimulation
73.7	0.105	14741	14761	0	stimulation
74.705	0.105	14942	14962	0	stimulation
75.71	0.105	15143	15163	0	stimulation
77.675	0.105	15536	15556	0	stimulation
