onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.68	0.105	6337	6357	0	stimulation
32.68	0.105	6537	6557	0	stimulation
33.375	0.105	6676	6696	0	stimulation
51.98	0.105	10397	10417	0	stimulation
52.985	0.105	10598	10618	0	stimulation
53.675	0.105	10736	10756	0	stimulation
54.675	0.105	10936	10956	0	stimulation
55.37	0.105	11075	11095	0	stimulation
73.655	0.105	14732	14752	0	stimulation
74.66	0.105	14933	14953	0	stimulation
75.665	0.105	15134	15154	0	stimulation
76.67	0.105	15335	15355	0	stimulation
77.675	0.105	15536	15556	0	stimulation
89.885	0.105	17978	17998	0	stimulation
90.89	0.105	18179	18199	0	stimulation
91.895	0.105	18380	18400	0	stimulation
92.9	0.105	18581	18601	0	stimulation
