onset	duration	begsample	endsample	offset	type
25.315	0.105	5064	5084	0	stimulation
26.285	0.105	5258	5278	0	stimulation
27.255	0.105	5452	5472	0	stimulation
52.545	0.105	10510	10530	0	stimulation
53.515	0.105	10704	10724	0	stimulation
54.485	0.105	10898	10918	0	stimulation
55.455	0.105	11092	11112	0	stimulation
62.19	0.105	12439	12459	0	stimulation
63.16	0.105	12633	12653	0	stimulation
64.13	0.105	12827	12847	0	stimulation
65.1	0.105	13021	13041	0	stimulation
70.555	0.105	14112	14132	0	stimulation
77.965	0.105	15594	15614	0	stimulation
78.935	0.105	15788	15808	0	stimulation
