onset	duration	begsample	endsample	offset	type
18.255	0.105	3652	3672	0	stimulation
19.225	0.105	3846	3866	0	stimulation
20.195	0.105	4040	4060	0	stimulation
21.165	0.105	4234	4254	0	stimulation
33.66	0.105	6733	6753	0	stimulation
34.63	0.105	6927	6947	0	stimulation
35.6	0.105	7121	7141	0	stimulation
36.57	0.105	7315	7335	0	stimulation
62.505	0.105	12502	12522	0	stimulation
63.475	0.105	12696	12716	0	stimulation
64.445	0.105	12890	12910	0	stimulation
65.415	0.105	13084	13104	0	stimulation
86.23	0.105	17247	17267	0	stimulation
87.2	0.105	17441	17461	0	stimulation
88.17	0.105	17635	17655	0	stimulation
88.505	0.105	17702	17722	0	stimulation
