onset	duration	begsample	endsample	offset	type
4.465	0.105	894	914	0	stimulation
5.21	0.105	1043	1063	0	stimulation
5.64	0.105	1129	1149	0	stimulation
6.38	0.105	1277	1297	0	stimulation
6.815	0.105	1364	1384	0	stimulation
31.56	0.105	6313	6333	0	stimulation
32.305	0.105	6462	6482	0	stimulation
32.735	0.105	6548	6568	0	stimulation
33.475	0.105	6696	6716	0	stimulation
33.91	0.105	6783	6803	0	stimulation
57.375	0.105	11476	11496	0	stimulation
58.12	0.105	11625	11645	0	stimulation
58.865	0.105	11774	11794	0	stimulation
59.3	0.105	11861	11881	0	stimulation
60.035	0.105	12008	12028	0	stimulation
