onset	duration	begsample	endsample	offset	type
6.51	0.105	1303	1323	0	stimulation
30.3	0.105	6061	6081	0	stimulation
31.045	0.105	6210	6230	0	stimulation
31.79	0.105	6359	6379	0	stimulation
32.2249	0.105	6445.98	6465.98	0	stimulation
32.96	0.105	6593	6613	0	stimulation
56.755	0.105	11352	11372	0	stimulation
57.5	0.105	11501	11521	0	stimulation
58.245	0.105	11650	11670	0	stimulation
58.68	0.105	11737	11757	0	stimulation
59.415	0.105	11884	11904	0	stimulation
87.37	0.105	17475	17495	0	stimulation
88.115	0.105	17624	17644	0	stimulation
88.86	0.105	17773	17793	0	stimulation
89.295	0.105	17860	17880	0	stimulation
90.03	0.105	18007	18027	0	stimulation
