onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.68	0.105	6337	6357	0	stimulation
32.68	0.105	6537	6557	0	stimulation
33.375	0.105	6676	6696	0	stimulation
71.18	0.105	14237	14257	0	stimulation
72.185	0.105	14438	14458	0	stimulation
72.875	0.105	14576	14596	0	stimulation
73.875	0.105	14776	14796	0	stimulation
74.57	0.105	14915	14935	0	stimulation
92.855	0.105	18572	18592	0	stimulation
93.86	0.105	18773	18793	0	stimulation
94.55	0.105	18911	18931	0	stimulation
95.55	0.105	19111	19131	0	stimulation
96.245	0.105	19250	19270	0	stimulation
