onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.69	0.105	6339	6359	0	stimulation
32.68	0.105	6537	6557	0	stimulation
33.385	0.105	6678	6698	0	stimulation
47.82	0.105	9565	9585	0	stimulation
63.55	0.105	12711	12731	0	stimulation
64.555	0.105	12912	12932	0	stimulation
65.245	0.105	13050	13070	0	stimulation
66.245	0.105	13250	13270	0	stimulation
66.94	0.105	13389	13409	0	stimulation
83.305	0.105	16662	16682	0	stimulation
84.31	0.105	16863	16883	0	stimulation
85.315	0.105	17064	17084	0	stimulation
86.01	0.105	17203	17223	0	stimulation
87.005	0.105	17402	17422	0	stimulation
