onset	duration	begsample	endsample	offset	type
4.745	0.105	950	970	0	stimulation
5.125	0.105	1026	1046	0	stimulation
5.505	0.105	1102	1122	0	stimulation
5.885	0.105	1178	1198	0	stimulation
12.99	0.105	2599	2619	0	stimulation
13.37	0.105	2675	2695	0	stimulation
13.75	0.105	2751	2771	0	stimulation
14.13	0.105	2827	2847	0	stimulation
20.275	0.105	4056	4076	0	stimulation
20.655	0.105	4132	4152	0	stimulation
21.035	0.105	4208	4228	0	stimulation
21.415	0.105	4284	4304	0	stimulation
29.645	0.105	5930	5950	0	stimulation
30.025	0.105	6006	6026	0	stimulation
30.405	0.105	6082	6102	0	stimulation
33.67	0.105	6735	6755	0	stimulation
34.05	0.105	6811	6831	0	stimulation
34.43	0.105	6887	6907	0	stimulation
39.935	0.105	7988	8008	0	stimulation
40.315	0.105	8064	8084	0	stimulation
40.695	0.105	8140	8160	0	stimulation
41.075	0.105	8216	8236	0	stimulation
41.62	0.105	8325	8345	0	stimulation
42	0.105	8401	8421	0	stimulation
42.38	0.105	8477	8497	0	stimulation
42.76	0.105	8553	8573	0	stimulation
52.11	0.105	10423	10443	0	stimulation
57.295	0.105	11460	11480	0	stimulation
57.675	0.105	11536	11556	0	stimulation
58.055	0.105	11612	11632	0	stimulation
58.435	0.105	11688	11708	0	stimulation
66.34	0.105	13269	13289	0	stimulation
66.72	0.105	13345	13365	0	stimulation
67.1	0.105	13421	13441	0	stimulation
67.48	0.105	13497	13517	0	stimulation
94.91	0.105	18983	19003	0	stimulation
95.29	0.105	19059	19079	0	stimulation
95.515	0.105	19104	19124	0	stimulation
