onset	duration	begsample	endsample	offset	type
12.145	0.105	2430	2450	0	stimulation
13.15	0.105	2631	2651	0	stimulation
13.84	0.105	2769	2789	0	stimulation
14.84	0.105	2969	2989	0	stimulation
15.535	0.105	3108	3128	0	stimulation
32.86	0.105	6573	6593	0	stimulation
33.865	0.105	6774	6794	0	stimulation
34.87	0.105	6975	6995	0	stimulation
35.875	0.105	7176	7196	0	stimulation
36.88	0.105	7377	7397	0	stimulation
48.45	0.105	9691	9711	0	stimulation
49.455	0.105	9892	9912	0	stimulation
50.46	0.105	10093	10113	0	stimulation
51.465	0.105	10294	10314	0	stimulation
