onset	duration	begsample	endsample	offset	type
3.08	0.105	617	637	0	stimulation
3.46	0.105	693	713	0	stimulation
3.84	0.105	769	789	0	stimulation
4.22	0.105	845	865	0	stimulation
12.29	0.105	2459	2479	0	stimulation
12.67	0.105	2535	2555	0	stimulation
61.215	0.105	12244	12264	0	stimulation
61.595	0.105	12320	12340	0	stimulation
61.975	0.105	12396	12416	0	stimulation
62.355	0.105	12472	12492	0	stimulation
73.945	0.105	14790	14810	0	stimulation
74.485	0.105	14898	14918	0	stimulation
74.865	0.105	14974	14994	0	stimulation
75.245	0.105	15050	15070	0	stimulation
