onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.68	0.105	6137	6157	0	stimulation
31.675	0.105	6336	6356	0	stimulation
32.375	0.105	6476	6496	0	stimulation
33.365	0.105	6674	6694	0	stimulation
50.06	0.105	10013	10033	0	stimulation
51.065	0.105	10214	10234	0	stimulation
52.07	0.105	10415	10435	0	stimulation
52.765	0.105	10554	10574	0	stimulation
53.77	0.105	10755	10775	0	stimulation
68.215	0.105	13644	13664	0	stimulation
87.145	0.105	17430	17450	0	stimulation
88.15	0.105	17631	17651	0	stimulation
88.84	0.105	17769	17789	0	stimulation
89.84	0.105	17969	17989	0	stimulation
90.535	0.105	18108	18128	0	stimulation
