onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.995	0.105	6400	6420	0	stimulation
33	0.105	6601	6621	0	stimulation
33.89	0.105	6779	6799	0	stimulation
50.06	0.105	10013	10033	0	stimulation
51.065	0.105	10214	10234	0	stimulation
52.07	0.105	10415	10435	0	stimulation
62.36	0.105	12473	12493	0	stimulation
63.365	0.105	12674	12694	0	stimulation
64.37	0.105	12875	12895	0	stimulation
65.3749	0.105	13075.98	13095.98	0	stimulation
69.905	0.105	13982	14002	0	stimulation
70.91	0.105	14183	14203	0	stimulation
