onset	duration	begsample	endsample	offset	type
1.905	0.105	382	402	0	stimulation
2.91	0.105	583	603	0	stimulation
3.6	0.105	721	741	0	stimulation
4.6	0.105	921	941	0	stimulation
5.295	0.105	1060	1080	0	stimulation
32.86	0.105	6573	6593	0	stimulation
33.865	0.105	6774	6794	0	stimulation
34.555	0.105	6912	6932	0	stimulation
35.555	0.105	7112	7132	0	stimulation
36.25	0.105	7251	7271	0	stimulation
61.575	0.105	12316	12336	0	stimulation
62.58	0.105	12517	12537	0	stimulation
63.585	0.105	12718	12738	0	stimulation
64.28	0.105	12857	12877	0	stimulation
65.275	0.105	13056	13076	0	stimulation
80.05	0.105	16011	16031	0	stimulation
83.62	0.105	16725	16745	0	stimulation
84.625	0.105	16926	16946	0	stimulation
85.63	0.105	17127	17147	0	stimulation
86.635	0.105	17328	17348	0	stimulation
94.045	0.105	18810	18830	0	stimulation
95.05	0.105	19011	19031	0	stimulation
96.055	0.105	19212	19232	0	stimulation
97.06	0.105	19413	19433	0	stimulation
98.065	0.105	19614	19634	0	stimulation
